Elongation [mm],Equivalent plastic strain
0.63,4.070737839
0.6384,4.07579422
0.6468,4.080888748
0.6552,4.086025238
0.6636,4.091201782
0.672,4.096423149
0.6804,4.101688862
0.6888,4.107000351
0.6972,4.112360001
0.7056,4.117771149
0.714,4.123234749
0.7224,4.128752708
0.7308,4.134325981
0.7392,4.139958382
0.7476,4.145650864
0.756,4.151406288
0.7644,4.157227039
0.7728,4.163114548
0.7812,4.169072628
0.7896,4.175103188
0.798,4.181208611
0.8064,4.187392235
0.8148,4.193655968
0.8232,4.200003147
0.8316,4.206438065
0.84,4.212961674
0.8316,4.212961674
0.8232,4.212961674
0.8148,4.212961674
0.8064,4.212961674
0.798,4.212961674
0.7896,4.213038445
0.7812,4.214885712
0.7728,4.217044353
0.7644,4.219439983
0.756,4.222053528
0.7476,4.224892139
0.7392,4.227955341
0.7308,4.231228828
0.7224,4.234692097
0.714,4.23831892
0.7056,4.242082596
0.6972,4.245956421
0.6888,4.24991703
0.6804,4.253948689
0.672,4.258031845
0.6636,4.262156487
0.6552,4.266311169
0.6468,4.270487309
0.6384,4.274677277
0.63,4.278876305
0.6216,4.28307724
0.6132,4.287279129
0.6048,4.291477203
0.5964,4.295668602
0.588,4.299851418
0.5796,4.304021835
0.5712,4.308183193
0.5628,4.312329292
0.5544,4.316461563
0.546,4.320578098
0.5376,4.324679375
0.5292,4.328764439
0.5208,4.332832813
0.5124,4.336883545
0.504,4.340916634
0.4956,4.34493351
0.4872,4.348931313
0.4788,4.352912426
0.4704,4.356874943
0.462,4.360820293
0.4536,4.364748001
0.4452,4.368658066
0.4368,4.372551918
0.4284,4.376426697
0.42,4.380285263
0.4116,4.384126663
0.4032,4.38795042
0.3948,4.391758919
0.3864,4.395549774
0.378,4.399324894
0.3696,4.403083801
0.3612,4.406826496
0.3528,4.410552979
0.3444,4.414262772
0.336,4.41795826
0.3276,4.421638489
0.3192,4.425303459
0.3108,4.428953171
0.3024,4.432588577
0.294,4.436207771
0.2856,4.439814568
0.2772,4.443405151
0.2688,4.446983337
0.2604,4.450545788
0.252,4.454094887
0.2436,4.457631111
0.2352,4.461153984
0.2268,4.464662552
0.2184,4.468157768
0.21,4.471640587
0.2016,4.475110531
0.1932,4.47856617
0.1848,4.482009411
0.1764,4.485440254
0.168,4.488855362
0.1596,4.492256165
0.1512,4.495643616
0.1428,4.499015808
0.1344,4.502371788
0.126,4.505709648
0.1176,4.509028435
0.1092,4.512332916
0.1008,4.515617847
0.0924,4.51888752
0.084,4.52214098
0.0756,4.525377274
0.0672,4.528594017
0.0588,4.531794548
0.0504,4.534976482
0.042,4.538140774
0.0336,4.541287422
0.0252,4.544417858
0.0168,4.547529221
0.0084,4.550623417
0.0,4.553697586
0.02,4.553697586
0.04,4.553697586
0.06,4.553697586
0.08,4.557058811
0.1,4.561592579
0.12,4.56692028
0.14,4.573149681
0.16,4.580237865
0.18,4.588013649
0.2,4.596292496
0.22,4.604932785
0.24,4.613842487
0.26,4.622956276
0.28,4.632229328
0.3,4.641634464
0.32,4.651155472
0.34,4.66078186
0.36,4.670509815
0.38,4.680339336
0.4,4.690270424
0.42,4.700305939
0.44,4.71045351
0.46,4.72071743
0.48,4.731105804
0.5,4.741628647
0.52,4.752296448
0.54,4.763119698
0.56,4.774115562
0.58,4.785298347
0.6,4.79668808
0.62,4.808303356
0.64,4.820167542
0.66,4.832307339
0.68,4.844751835
0.7,4.857531548
0.72,4.870683193
0.74,4.884245872
0.76,4.898262024
0.78,4.912781715
0.8,4.927853584
0.82,4.943537712
0.84,4.959893227
0.86,4.976987362
0.88,4.994890213
0.9,5.013676643
0.92,5.033424377
0.94,5.054214478
0.96,5.076125145
0.98,5.09924221
1.0,5.123641491
1.02,5.149401188
1.04,5.176591396
1.06,5.205280304
1.08,5.235524178
1.1,5.267371178
1.12,5.300863266
1.14,5.336032867
1.16,5.372921467
1.18,5.411614418
1.2,5.452217102
1.22,5.49495554
1.24,5.54015255
1.26,5.588165283
1.28,5.639261246
1.3,5.693451881
1.32,5.749887466
1.34,5.807044983
1.36,5.863980293
1.38,5.920297623
1.4,5.976045609
1.42,6.0314641
1.44,6.086815357
1.46,6.142224312
1.48,6.197289944
1.5,6.250590324
1.52,6.302109718
1.54,6.352079391
1.56,6.40079689
1.58,6.448436737
1.6,6.494761467
1.62,6.539729595
1.64,6.583291531
1.66,6.625406742
1.68,6.666065693
1.7,6.705273628
1.72,6.743022442
