Elongation [mm],Equivalent plastic strain
0.534,1.039431572
0.528,1.040313244
0.522,1.041262507
0.516,1.042270184
0.51,1.043331861
0.504,1.044444323
0.498,1.045605898
0.492,1.046815395
0.486,1.048072457
0.48,1.049375892
0.474,1.050725698
0.468,1.052120924
0.462,1.053559899
0.456,1.055041313
0.45,1.056563377
0.444,1.058123589
0.438,1.059719086
0.432,1.061346769
0.426,1.063003063
0.42,1.064684391
0.414,1.066385746
0.408,1.068103552
0.402,1.069832087
0.396,1.071564436
0.39,1.073294044
0.384,1.075012207
0.378,1.076708078
0.372,1.078379631
0.366,1.080031037
0.36,1.081663966
0.354,1.083279371
0.348,1.084876776
0.342,1.086456418
0.336,1.08801806
0.33,1.089560747
0.324,1.091084957
0.318,1.09259057
0.312,1.094077229
0.306,1.095544815
0.3,1.096993208
0.294,1.09842217
0.288,1.099832416
0.282,1.101223469
0.276,1.102594852
0.27,1.103947639
0.264,1.105281234
0.258,1.106596231
0.252,1.107891917
0.246,1.109169722
0.24,1.11042881
0.234,1.111669302
0.228,1.112891674
0.222,1.11409688
0.216,1.115283608
0.21,1.116452932
0.204,1.117605567
0.198,1.118740916
0.192,1.119859457
0.186,1.12096107
0.18,1.122046828
0.174,1.123116255
0.168,1.124169707
0.162,1.125207424
0.156,1.126230001
0.15,1.127237082
0.144,1.128229737
0.138,1.129206777
0.132,1.130170107
0.126,1.131118774
0.12,1.132053375
0.114,1.132973671
0.108,1.133880615
0.102,1.134774208
0.096,1.135654211
0.09,1.136520863
0.084,1.13737464
0.078,1.138215303
0.072,1.139043212
0.066,1.139858842
0.06,1.140662074
0.054,1.141453505
0.048,1.142233133
0.042,1.14300108
0.036,1.143757463
0.03,1.144503117
0.024,1.145237446
0.018,1.145960808
0.012,1.146673918
0.006,1.147375822
0,1.14806819
0.02,1.14806819
0.04,1.14806819
0.06,1.14806819
0.08,1.14806819
0.1,1.149866462
0.12,1.152138829
0.14,1.154718399
0.16,1.157581091
0.18,1.160591364
0.2,1.163748264
0.22,1.167128563
0.24,1.170770288
0.26,1.174704313
0.28,1.178954959
0.3,1.183543324
0.32,1.188489318
0.34,1.193811178
0.36,1.199527025
0.38,1.205654025
0.4,1.21220994
0.42,1.219213724
0.44,1.226684451
0.46,1.23464179
0.48,1.243107557
0.5,1.252104044
0.52,1.261653662
0.54,1.27177763
0.56,1.282493353
0.58,1.293813586
0.6,1.305743694
0.62,1.318280339
0.64,1.331410646
0.66,1.345112562
0.68,1.359358311
0.7,1.374115944
0.72,1.389357805
0.74,1.405063152
0.76,1.421221972
0.78,1.437838316
0.8,1.454926372
0.82,1.472510695
0.84,1.490620613
0.86,1.509290218
0.88,1.52855289
0.9,1.548445225
0.92,1.56899941
0.94,1.59024632
0.96,1.612214565
0.98,1.634931922
1,1.658423305
1.02,1.682712197
1.04,1.707819462
1.06,1.733764768
1.08,1.760564685
1.1,1.788234591
1.12,1.816790819
1.14,1.846248627
1.16,1.876624942
1.18,1.90794301
1.2,1.940226674
1.22,1.973497272
1.24,2.007782221
1.26,2.043106556
1.28,2.079487801
1.3,2.116922379
1.32,2.155385017
1.34,2.194830656
1.36,2.23522234
1.38,2.276446819
1.4,2.318365812
1.42,2.360806227
1.44,2.403600693
1.46,2.446576118
1.48,2.489559174
1.5,2.532459974
1.52,2.575147629
1.54,2.617510319
1.56,2.65943718
1.58,2.700837612
1.6,2.741652489
1.62,2.781886101
1.64,2.82155776
1.66,2.860646725
1.68,2.899096966
1.7,2.936840534
1.72,2.973826885
1.74,3.009958744
1.76,3.045228004
1.78,3.07968092
1.8,3.113359928
1.82,3.14627409
1.84,3.178418875
1.86,3.209766865
1.88,3.2403543
1.9,3.270215034
1.92,3.299371004
1.94,3.327891827
1.96,3.355773449
1.98,3.382982731
2,3.409633636
