Elongation [mm],Triaxiality
0.45,-1.17365
0.444,-1.18878
0.438,-1.20263
0.432,-1.21532
0.426,-1.22682
0.42,-1.2373
0.414,-1.24663
0.408,-1.25485
0.402,-1.26197
0.396,-1.26776
0.39,-1.2722
0.384,-1.2751
0.378,-1.27624
0.372,-1.27604
0.366,-1.27524
0.36,-1.27412
0.354,-1.27279
0.348,-1.27126
0.342,-1.26957
0.336,-1.26769
0.33,-1.26565
0.324,-1.26345
0.318,-1.26114
0.312,-1.25873
0.306,-1.25618
0.3,-1.25356
0.294,-1.25084
0.288,-1.24807
0.282,-1.24524
0.276,-1.24232
0.27,-1.23939
0.264,-1.2364
0.258,-1.23339
0.252,-1.23033
0.246,-1.22727
0.24,-1.2242
0.234,-1.2211
0.228,-1.21798
0.222,-1.2149
0.216,-1.21177
0.21,-1.20866
0.204,-1.20555
0.198,-1.20245
0.192,-1.19936
0.186,-1.19627
0.18,-1.1932
0.174,-1.19014
0.168,-1.18709
0.162,-1.18405
0.156,-1.18104
0.15,-1.17803
0.144,-1.17505
0.138,-1.17208
0.132,-1.16914
0.126,-1.16619
0.12,-1.16328
0.114,-1.16038
0.108,-1.1575
0.102,-1.15465
0.096,-1.15181
0.09,-1.14899
0.084,-1.14619
0.078,-1.14341
0.072,-1.14065
0.066,-1.13792
0.06,-1.1352
0.054,-1.1325
0.048,-1.12983
0.042,-1.12719
0.036,-1.12455
0.03,-1.12196
0.024,-1.11937
0.018,-1.1168
0.012,-1.11426
0.006,-1.11174
0,-1.10925
0.02,-1.08594
0.04,-0.94139
0.06,-0.77165
0.08,0.6412
0.1,1.00334
0.12,1.16274
0.14,1.22191
0.16,1.24133
0.18,1.23502
0.2,1.22684
0.22,1.22753
0.24,1.23434
0.26,1.24513
0.28,1.25824
0.3,1.2724
0.32,1.28665
0.34,1.30032
0.36,1.31299
0.38,1.32443
0.4,1.33464
0.42,1.34369
0.44,1.35176
0.46,1.35905
0.48,1.36576
0.5,1.37208
0.52,1.37818
0.54,1.38419
0.56,1.3902
0.58,1.39631
0.6,1.40256
0.62,1.40899
0.64,1.41563
0.66,1.42249
0.68,1.42961
0.7,1.43702
0.72,1.44477
0.74,1.4529
0.76,1.46148
0.78,1.47052
0.8,1.48005
0.82,1.49004
0.84,1.50046
0.86,1.51124
0.88,1.52231
0.9,1.53355
0.92,1.54491
0.94,1.55628
0.96,1.56759
0.98,1.57873
1,1.58964
1.02,1.60023
1.04,1.61044
1.06,1.62016
1.08,1.62931
1.1,1.63779
1.12,1.64548
1.14,1.65236
1.16,1.65838
1.18,1.66348
1.2,1.66769
1.22,1.67128
1.24,1.67393
1.26,1.67563
1.28,1.67704
1.3,1.67936
1.32,1.68361
1.34,1.69066
1.36,1.70015
1.38,1.71437
1.4,1.73402
1.42,1.75828
1.44,1.78575
1.46,1.81518
1.48,1.84529
1.5,1.87601
1.52,1.90604
1.54,1.93454
1.56,1.96077
1.58,1.98521
1.6,2.00671
1.62,2.02647
1.64,2.0452
1.66,2.06236
1.68,2.07658
1.7,2.08692
1.72,2.09275
1.74,2.05594
1.76,2.00287
1.78,1.94109
1.8,1.87119
1.82,1.79158
1.84,1.70717
1.86,1.61725
1.88,1.53398
1.9,1.46068
1.92,1.39788
1.94,1.34228
1.96,1.29507
1.98,1.26401
2,1.2327
