Total plastic story drift angle *(rad),Force in the actuator (kN)
-0.043352782,-197.8831217
-0.044733045,-193.5906462
-0.045360437,-181.5717147
-0.04586235,-160.1093371
-0.045360437,-141.2224448
-0.04435661,-114.6090965
-0.043478261,-89.71273846
-0.042474434,-55.37293427
-0.041470607,-27.0425958
-0.04046678,-9.014198601
-0.039713909,9.872693706
-0.03808269,34.76905175
-0.03657695,51.93895385
-0.034945731,75.11832168
-0.03268712,94.86370909
-0.030930422,113.7506014
-0.027667984,134.3544839
-0.024280068,150.6658909
-0.02101763,163.5433175
-0.017002321,176.4207441
-0.012610578,189.2981706
-0.007716921,200.458607
-0.000941088,215.9115189
0.007716921,234.7984112
0.015120146,251.9683133
0.018759019,256.2607888
0.024029111,269.1382154
0.028169898,276.0061762
0.031306857,283.7326322
0.037580777,292.3175832
0.039462953,296.6100587
0.040090344,282.8741371
0.040341301,256.2607888
0.040090344,223.6379748
0.039462953,157.5338517
0.036953385,54.51443916
0.036702428,47.64647832
0.036200514,39.06152727
0.035824079,27.0425958
0.035322166,13.30667413
0.034694774,-4.721723077
0.034067382,-21.03313007
0.032812598,-46.78798322
0.032059728,-63.95788531
0.030553987,-80.26929231
0.028922768,-95.7222042
0.027291549,-112.8921063
0.024405546,-131.7789986
0.022648849,-141.2224448
0.020515716,-148.9489007
0.018382584,-158.3923469
0.015622059,-163.5433175
0.007340486,-182.4302098
0.004329004,-184.1472
0.001192045,-190.1566657
-0.002446829,-193.5906462
-0.007465964,-196.1661315
-0.009473618,-196.1661315
-0.011857708,-197.0246266
-0.015120146,-196.1661315
-0.020766673,-196.1661315
-0.025409373,-191.8736559
-0.029299203,-186.7226853
-0.032185206,-184.1472
-0.034443817,-180.7132196
-0.036953385,-177.2792392
-0.040592258,-173.8452587
-0.043352782,-171.2697734
-0.045485915,-169.5527832
-0.046866177,-165.2603077
-0.047117134,-158.3923469
-0.046991656,-149.8073958
-0.046615221,-139.5054545
-0.04586235,-124.0525427
-0.044607566,-100.8731748
-0.043478261,-69.10885594
-0.040215823,-13.30667413
-0.035196687,63.09939021
-0.033063555,77.69380699
-0.02879729,112.0336112
-0.025785808,125.7695329
-0.020766673,146.3734154
-0.019511889,150.6658909
-0.016123973,163.5433175
-0.011732229,173.8452587
-0.007215007,188.4396755
0.001317523,211.6190434
0.009222661,224.4964699
0.016500408,238.2323916
0.025283895,255.4022937
0.040090344,287.1666126
0.04197252,288.8836028
0.04435661,293.1760783
0.046615221,294.8930685
0.04824644,296.6100587
0.049250267,296.6100587
0.050254094,293.1760783
0.050379572,281.1571469
0.050505051,265.704235
0.050254094,248.5343329
0.048748353,121.4770573
0.047619048,65.67487552
0.047493569,53.65594406
0.046991656,39.06152727
0.045611393,-3.863227972
0.044231131,-33.91055664
0.041345128,-81.12778741
0.038459125,-106.0241455
0.035698601,-124.9110378
0.032812598,-139.5054545
0.027542506,-154.0998713
0.023401719,-164.4018126
0.017002321,-172.1282685
0.013739883,-172.1282685
0.00545831,-179.8547245
6.27392E-05,-178.9962294
-0.008218834,-175.562249
-0.021394065,-166.9772979
-0.033565468,-157.5338517
-0.046489742,-145.5149203
-0.059539494,-132.6374937
-0.060292365,-126.628028
-0.060166886,-113.7506014
-0.059539494,-99.15618462
-0.058912102,-91.42972867
-0.057029927,-69.96735105
-0.055524186,-46.78798322
-0.049626702,19.31613986
-0.044984002,57.94841958
-0.04121965,77.69380699
-0.038333647,90.57123357
-0.033314512,104.3071552
-0.027542506,119.7600671
0.047619048,274.289186
0.048497396,275.1476811
0.049626702,266.5627301
0.049877659,254.5437986
0.050254094,245.1003524
0.050254094,238.2323916
0.050254094,232.2229259
0.050128615,223.6379748
0.050003137,210.7605483
0.049626702,194.4491413
0.046866177,86.27875804
0.046615221,76.83531189
0.046238785,63.95788531
0.045611393,39.06152727
0.043980174,-1.287742657
0.042348955,-44.2124979
0.039588431,-79.4107972
0.036075036,-103.4486601
0.030804944,-127.4865231
0.026162244,-142.939435
0.018508062,-151.524386
0.009850053,-153.2413762
0.005081875,-154.0998713
-0.007215007,-150.6658909
-0.01788067,-145.5149203
-0.024531025,-141.2224448
-0.03268712,-135.212979
-0.045234958,-124.0525427
-0.057406362,-114.6090965
-0.05828471,-111.1751161
-0.058159232,-96.5806993
-0.058033754,-88.85424336
-0.057280883,-80.26929231
-0.056528013,-69.10885594
-0.053391053,-36.48604196
-0.049124788,2.146237762
-0.04586235,29.61808112
-0.040592258,56.23142937
-0.036075036,75.11832168
-0.029801117,94.86370909
-0.025785808,103.4486601
-0.003199699,151.524386
0.049124788,260.5532643
0.052010791,266.5627301
0.053265575,269.1382154
0.055524186,270.8552056
0.057155405,270.8552056
0.058661146,270.8552056
0.060292365,267.4212252
0.061296192,258.8362741
0.06142167,253.6853035
0.06142167,244.2418573
0.061547149,231.3644308
0.06142167,222.7794797
0.0606688,154.9583664
0.059915929,112.0336112
0.059539494,93.14671888
0.058661146,64.81638042
0.057029927,13.30667413
0.055147751,-24.46711049
0.053892967,-45.07099301
0.052763661,-60.5239049
0.051383399,-73.40133147
0.049124788,-88.85424336
0.04586235,-106.8826406
0.042474434,-121.4770573
0.039462953,-127.4865231
0.037078863,-133.4959888
0.033816425,-136.9299692
0.029048246,-140.3639497
-0.001944915,-141.2224448
-0.022272414,-129.2035133
-0.043980174,-115.4675916
-0.071710898,-100.8731748
-0.072087333,-94.86370909
-0.072212811,-92.28822378
-0.072212811,-84.56176783
-0.071459941,-75.97681678
-0.070832549,-70.82584615
-0.070330636,-66.53337063
-0.069703244,-61.3824
-0.061045235,-1.287742657
-0.060417843,3.004732867
-0.059539494,8.155703497
-0.058786624,13.30667413
-0.058159232,15.88215944
-0.05753184,21.03313007
-0.057029927,22.75012028
-0.056402535,25.32560559
-0.055775143,27.90109091
-0.055022272,30.47657622
-0.054143924,34.76905175
-0.053265575,36.48604196
-0.052512705,39.06152727
-0.051383399,42.49550769
-0.050128615,47.64647832
-0.047995483,55.37293427
-0.045987829,60.5239049
-0.044231131,65.67487552
-0.024029111,100.0146797
-0.022397892,100.8731748
-0.021394065,99.15618462
-0.019888324,94.86370909
-0.017378757,94.86370909
0.038584604,171.2697734
0.040090344,173.8452587
0.04197252,176.4207441
0.044482088,176.4207441
0.046866177,176.4207441
0.047870004,174.7037538
0.048873831,172.1282685
0.049877659,165.2603077
0.053892967,150.6658909
0.055775143,149.8073958
0.058912102,154.0998713
0.06142167,154.9583664
0.062801932,154.9583664
0.064182195,151.524386
0.0653115,147.2319105
0.0653115,141.2224448
0.065186022,135.212979
0.064809587,130.0620084
0.064684108,124.9110378
0.064056716,117.1845818
0.062676454,100.8731748
0.06142167,86.27875804
0.060417843,69.96735105
0.059539494,58.80691469
0.05828471,43.3540028
0.057029927,30.47657622
0.056151578,19.31613986
0.054018445,4.721723077
0.053391053,0.429247552
