Total plastic story drift angle (rad),Force in the actuator (kN)
0.007275085,-57.26213365
0.004912237,-111.6405627
0.002673749,-144.5971864
0.000559622,-173.4342321
-0.001554505,-189.0886284
-0.004663516,-208.8626026
-0.007523806,-218.7495897
-0.00876741,-224.5169988
-0.009886654,-228.6365768
-0.010632817,-228.6365768
-0.01137898,-229.4604924
-0.011876421,-229.4604924
-0.012125142,-229.4604924
-0.012000782,-206.3908558
-0.010757177,-108.3449004
-0.010011015,-64.67737397
-0.009389213,5.355451348
-0.00876741,43.25556858
-0.008021248,68.79695193
-0.006653283,98.45791325
-0.005160958,130.5906213
-0.003668633,157.7798359
-0.001305785,184.9690504
-0.000186541,201.4473623
0.000932703,224.5169988
0.002176308,249.2344666
0.003419912,267.3606096
0.004912237,279.7193435
0.006155841,288.782415
0.007150725,292.0780774
0.008145608,294.5498242
0.00876741,294.5498242
0.009513573,287.9584994
0.010011015,282.1910903
0.010632817,270.656272
0.011005898,260.7692849
0.010881538,244.290973
0.011005898,228.6365768
0.011005898,204.7430246
0.009886654,119.055803
0.009389213,89.39484174
0.009016131,53.14255569
0.008394329,35.84032825
0.007896887,-6.17936694
0.007150725,-31.72075029
0.00578276,-65.50128957
0.004663516,-93.5144197
0.00279811,-122.3514654
0.001305785,-140.4776084
0.000310901,-153.6602579
-0.000808343,-168.4907386
-0.002549389,-187.4407972
-0.005036597,-203.919109
-0.007150725,-216.2778429
-0.00864305,-217.1017585
-0.010011015,-217.1017585
-0.011254619,-216.2778429
-0.012498223,-215.4539273
-0.012498223,-208.038687
-0.012498223,-198.1516999
-0.012498223,-157.7798359
-0.010259736,-44.07948417
-0.008145608,40.78382181
-0.006528923,86.92309496
-0.004912237,119.055803
-0.002549389,156.9559203
-0.001678866,176.7298945
0.000186541,200.6234467
0.001554505,213.8060961
0.004290435,248.410551
0.005409679,263.2410317
0.007399446,279.7193435
0.00864305,294.5498242
0.009637933,300.3172333
0.010757177,309.3803048
0.012125142,312.6759672
0.013368746,316.7955451
0.01448799,321.7390387
0.015482874,323.3868699
0.016602118,324.2107855
0.017472641,325.8586166
0.018591885,324.2107855
0.019213687,320.0912075
0.019462408,313.4998828
0.019462408,297.0215709
0.019586768,268.1845252
0.019213687,79.50785463
0.019089326,62.2056272
0.018964966,37.48815944
0.018716245,13.59460727
0.017970082,-12.77069168
0.016975199,-40.78382181
0.016104676,-63.02954279
0.014985432,-91.04267292
0.013368746,-116.5840563
0.0116277,-133.8862837
0.009637933,-152.8363423
0.007275085,-168.4907386
0.005534039,-184.1451348
0.002673749,-193.2082063
0.000932703,-203.919109
-0.000559622,-208.8626026
-0.003171191,-216.2778429
-0.006404562,-222.0452521
-0.010508457,-228.6365768
-0.013244386,-231.9322392
-0.015607234,-236.0518171
-0.018218803,-236.8757327
-0.020954733,-236.8757327
-0.021949616,-235.2279015
-0.022073977,-214.6300117
-0.022073977,-190.7364596
-0.021825256,-169.3146542
-0.019711128,-53.14255569
-0.019089326,-15.24243845
-0.017721362,29.24900352
-0.016353397,71.26869871
-0.01436363,109.1688159
-0.012871305,133.0623681
-0.010632817,155.3080891
-0.00876741,170.9624853
-0.006902004,186.6168816
-0.005409679,195.6799531
-0.003544272,207.2147714
-0.002051947,212.9821805
-0.001181424,218.7495897
0.001181424,229.4604924
0.00292247,236.8757327
0.004912237,250.8822978
0.007399446,261.5932005
0.008891771,267.3606096
0.009762294,272.3041032
0.010632817,281.3671747
0.012125142,287.9584994
0.013866188,296.1976553
0.014985432,304.4368113
0.016477757,311.8520516
