Chord Rotation [rads],Axial Shortening [mm]
-1.160000e-02,-1.910000e+00
-1.160000e-02,-1.890000e+00
-1.150000e-02,-1.920000e+00
-1.150000e-02,-1.910000e+00
-1.140000e-02,-1.910000e+00
-1.140000e-02,-1.900000e+00
-1.130000e-02,-1.920000e+00
-1.130000e-02,-1.900000e+00
-1.130000e-02,-1.900000e+00
-1.120000e-02,-1.890000e+00
-1.110000e-02,-1.910000e+00
-1.110000e-02,-1.880000e+00
-1.100000e-02,-1.900000e+00
-1.100000e-02,-1.890000e+00
-1.100000e-02,-1.910000e+00
-1.090000e-02,-1.900000e+00
-1.080000e-02,-1.890000e+00
-1.080000e-02,-1.890000e+00
-1.070000e-02,-1.910000e+00
-1.070000e-02,-1.890000e+00
-1.060000e-02,-1.900000e+00
-1.060000e-02,-1.900000e+00
-1.060000e-02,-1.890000e+00
-1.050000e-02,-1.900000e+00
-1.040000e-02,-1.910000e+00
-1.040000e-02,-1.910000e+00
-1.040000e-02,-1.890000e+00
-1.030000e-02,-1.900000e+00
-1.030000e-02,-1.900000e+00
-1.020000e-02,-1.910000e+00
-1.020000e-02,-1.890000e+00
-1.010000e-02,-1.920000e+00
-1.010000e-02,-1.880000e+00
-1.000000e-02,-1.890000e+00
-1.000000e-02,-1.900000e+00
-9.900000e-03,-1.900000e+00
-9.800000e-03,-1.920000e+00
-9.800000e-03,-1.900000e+00
-9.800000e-03,-1.900000e+00
-9.700000e-03,-1.910000e+00
-9.700000e-03,-1.910000e+00
-9.600000e-03,-1.900000e+00
-9.600000e-03,-1.900000e+00
-9.500000e-03,-1.910000e+00
-9.500000e-03,-1.930000e+00
-9.400000e-03,-1.900000e+00
-9.400000e-03,-1.920000e+00
-9.300000e-03,-1.910000e+00
-9.300000e-03,-1.900000e+00
-9.200000e-03,-1.910000e+00
-9.200000e-03,-1.910000e+00
-9.100000e-03,-1.900000e+00
-9.100000e-03,-1.900000e+00
-9.000000e-03,-1.920000e+00
-8.900000e-03,-1.900000e+00
-8.900000e-03,-1.880000e+00
-8.900000e-03,-1.900000e+00
-8.800000e-03,-1.900000e+00
-8.800000e-03,-1.900000e+00
-8.700000e-03,-1.880000e+00
-8.600000e-03,-1.920000e+00
-8.600000e-03,-1.910000e+00
-8.600000e-03,-1.890000e+00
-8.500000e-03,-1.920000e+00
-8.400000e-03,-1.930000e+00
-8.400000e-03,-1.890000e+00
-8.400000e-03,-1.900000e+00
-8.300000e-03,-1.900000e+00
-8.300000e-03,-1.910000e+00
-8.200000e-03,-1.900000e+00
-8.200000e-03,-1.920000e+00
-8.100000e-03,-1.900000e+00
-8.100000e-03,-1.910000e+00
-8.000000e-03,-1.920000e+00
-8.000000e-03,-1.920000e+00
-7.900000e-03,-1.920000e+00
-7.900000e-03,-1.900000e+00
-7.800000e-03,-1.900000e+00
-7.800000e-03,-1.910000e+00
-7.700000e-03,-1.900000e+00
-7.700000e-03,-1.920000e+00
-7.600000e-03,-1.920000e+00
-7.600000e-03,-1.910000e+00
-7.500000e-03,-1.910000e+00
-7.500000e-03,-1.910000e+00
-7.400000e-03,-1.920000e+00
-7.400000e-03,-1.930000e+00
-7.400000e-03,-1.910000e+00
-7.300000e-03,-1.910000e+00
-7.200000e-03,-1.900000e+00
-7.200000e-03,-1.910000e+00
-7.100000e-03,-1.920000e+00
-7.100000e-03,-1.910000e+00
-7.000000e-03,-1.910000e+00
-7.000000e-03,-1.920000e+00
-6.900000e-03,-1.910000e+00
-6.900000e-03,-1.910000e+00
-6.800000e-03,-1.900000e+00
-6.800000e-03,-1.910000e+00
-6.700000e-03,-1.910000e+00
-6.700000e-03,-1.910000e+00
-6.700000e-03,-1.920000e+00
-6.600000e-03,-1.940000e+00
-6.500000e-03,-1.920000e+00
-6.500000e-03,-1.930000e+00
-6.500000e-03,-1.910000e+00
-6.400000e-03,-1.930000e+00
-6.400000e-03,-1.940000e+00
-6.300000e-03,-1.920000e+00
-6.300000e-03,-1.910000e+00
-6.200000e-03,-1.920000e+00
-6.100000e-03,-1.930000e+00
-6.100000e-03,-1.920000e+00
-6.100000e-03,-1.920000e+00
-6.000000e-03,-1.930000e+00
-5.900000e-03,-1.930000e+00
-5.900000e-03,-1.930000e+00
-5.800000e-03,-1.930000e+00
-5.800000e-03,-1.930000e+00
-5.700000e-03,-1.930000e+00
-5.700000e-03,-1.940000e+00
-5.600000e-03,-1.920000e+00
-5.600000e-03,-1.940000e+00
-5.600000e-03,-1.940000e+00
