type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,z_z,j,c_w,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 1/2,114.3,114.3,12.7,6.7,6.7,38.1,25.4,0.4,457.2,4483.9,1935.5,1935.5,7533788.8,40.9,131752.0,167148.1,7533788.8,40.9,131752.0,167148.1,13028043.6,242528.5,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 3/8,114.3,114.3,9.525,9.9,9.9,28.6,19.1,0.3,457.2,3535.5,1633.1,1633.1,6368340.8,42.4,111432.0,136995.9,6368340.8,42.4,111432.0,136995.9,10697147.6,195006.1,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 5/16,114.3,114.3,7.9502,12.5,12.5,23.9,15.9,0.2,457.2,3019.3,1438.2,1438.2,5619124.2,43.2,98322.4,119134.0,5619124.2,43.2,98322.4,119134.0,9281960.8,167148.1,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 1/4,114.3,114.3,6.35,16.3,16.3,19.1,12.7,0.2,457.2,2477.4,1209.7,1209.7,4745038.3,43.7,83082.4,99305.6,4745038.3,43.7,83082.4,99305.6,7700281.4,138306.8,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 3/16,114.3,114.3,4.7752,22.9,22.9,14.3,9.6,0.2,457.2,1890.3,954.8,954.8,3754407.5,44.5,65712.1,77183.1,3754407.5,44.5,65712.1,77183.1,5993732.5,106352.0,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 0.134,114.3,114.3,3.4036,33,33,10.2,6.8,0.1,457.2,1387.1,708.6,708.6,2822049.1,45.2,49325.1,57354.7,2822049.1,45.2,49325.1,57354.7,4424540.1,78330.2,,,,,,,,,,,,
SHS,HSS 4.5 x 4.5 x 1/8,114.3,114.3,3.175,35.8,35.8,9.5,6.4,0.1,457.2,1290.3,665.3,665.3,2643069.6,45.2,46211.5,53585.7,2643069.6,45.2,46211.5,53585.7,4129015.7,72922.4,,,,,,,,,,,,
SHS,HSS 4 x 4 x 1/2,101.6,101.6,12.7,5.6,5.6,38.1,25.4,0.3,406.4,3883.9,1612.9,1612.9,4953154.0,35.8,97503.0,126180.4,4953154.0,35.8,97503.0,126180.4,8740859.9,183535.1,,,,,,,,,,,,
SHS,HSS 4 x 4 x 3/8,101.6,101.6,9.525,8.5,8.5,28.6,19.1,0.3,406.4,3083.9,1391.1,1391.1,4287183.7,37.3,84393.4,104713.3,4287183.7,37.3,84393.4,104713.3,7284049.9,149777.8,,,,,,,,,,,,
SHS,HSS 4 x 4 x 5/16,101.6,101.6,7.9502,10.7,10.7,23.9,15.9,0.2,406.4,2645.2,1236.2,1236.2,3804355.2,37.8,74888.9,91603.7,3804355.2,37.8,74888.9,91603.7,6368340.8,129621.7,,,,,,,,,,,,
SHS,HSS 4 x 4 x 1/4,101.6,101.6,6.35,14.2,14.2,19.1,12.7,0.2,406.4,2174.2,1048.4,1048.4,3246605.1,38.6,63909.5,76855.3,3246605.1,38.6,63909.5,76855.3,5327762.2,107499.1,,,,,,,,,,,,
SHS,HSS 4 x 4 x 3/16,101.6,101.6,4.7752,20,20,14.3,9.6,0.1,406.4,1664.5,833.5,833.5,2584797.2,39.4,50963.8,60140.5,2584797.2,39.4,50963.8,60140.5,4162314.3,83082.4,,,,,,,,,,,,
SHS,HSS 4 x 4 x 0.134,101.6,101.6,3.4036,29,29,10.2,6.8,0.1,406.4,1225.8,622.1,622.1,1956287.7,39.9,38509.6,44900.6,1956287.7,39.9,38509.6,44900.6,3080112.5,61451.5,,,,,,,,,,,,
SHS,HSS 4 x 4 x 1/8,101.6,101.6,3.175,31.5,31.5,9.5,6.4,0.1,406.4,1141.9,584.7,584.7,1831418.3,40.1,36051.5,41950.9,1831418.3,40.1,36051.5,41950.9,2876159.2,57190.9,,,,,,,,,,,,
SHS,HSS 4 x 4 x .120,101.6,101.6,3.048,32.7,32.7,9.1,6.1,0.1,406.4,1103.2,563.6,563.6,1777308.2,40.1,35068.3,40639.9,1777308.2,40.1,35068.3,40639.9,2784588.2,55388.3,,,,,,,,,,,,
SHS,HSS 3.5 x 3.5 x 3/8,88.9,88.9,9.525,7,7,28.6,19.1,0.2,355.6,2638.7,1149.2,1149.2,2701342.0,32.0,60796.0,76855.3,2701342.0,32.0,60796.0,76855.3,4661792.0,110940.4,,,,,,,,,,,,
SHS,HSS 3.5 x 3.5 x 5/16,88.9,88.9,7.9502,9,9,23.9,15.9,0.2,355.6,2271.0,1034.3,1034.3,2430791.5,32.8,54732.8,67842.4,2430791.5,32.8,54732.8,67842.4,4116528.8,96683.7,,,,,,,,,,,,
SHS,HSS 3.5 x 3.5 x 1/4,88.9,88.9,6.35,12,12,19.1,12.7,0.2,355.6,1877.4,887.1,887.1,2097806.4,33.5,47194.7,57354.7,2097806.4,33.5,47194.7,57354.7,3475532.4,80624.4,,,,,,,,,,,,
SHS,HSS 3.5 x 3.5 x 0.238,88.9,88.9,6.0452,12.8,12.8,18.1,12.1,0.1,355.6,1787.1,855.6,855.6,2018722.4,33.5,45392.2,54896.7,2018722.4,33.5,45392.2,54896.7,3329851.4,77183.1,,,,,,,,,,,,
