type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,w_z,j,c_w,,,,,,,,,,,,
SHS,SHS 160x10,160,160,10,16.0,16.0,15,10,46.3,0.614,5893,2946,2946,21860000,60.9,273200,329000,21860000,60.9,273200,329000,34780000,398300,,,,,,,,,,,,
SHS,SHS 160x12.5,160,160,12.5,12.8,12.8,18.8,12.5,56.6,0.608,7207,3604,3604,25760000,59.8,322000,394700,25760000,59.8,322000,394700,41580000,467100,,,,,,,,,,,,
SHS,SHS 160x14.2,160,160,14.2,11.3,11.3,21.3,14.2,63.3,0.603,8065,4033,4033,28090000,59,351100,435800,28090000,59,351100,435800,45790000,508000,,,,,,,,,,,,
SHS,SHS 160x16,160,160,16,10.0,10.0,24,16,70.2,0.599,8941,4471,4471,30280000,58.2,378500,476100,30280000,58.2,378500,476100,49880000,546300,,,,,,,,,,,,
SHS,SHS 180x5,180,180,5,36.0,36.0,7.5,5,27.3,0.707,3473,1737,1737,17650000,71.3,196100,227300,17650000,71.3,196100,227300,27180000,289900,,,,,,,,,,,,
SHS,SHS 180x6.3,180,180,6.3,28.6,28.6,9.4,6.3,34,0.704,4335,2167,2167,21680000,70.7,240900,281300,21680000,70.7,240900,281300,33610000,354900,,,,,,,,,,,,
SHS,SHS 180x8,180,180,8,22.5,22.5,12,8,42.7,0.699,5435,2718,2718,26610000,70,295600,348900,26610000,70,295600,348900,41620000,433800,,,,,,,,,,,,
SHS,SHS 180x10,180,180,10,18.0,18.0,15,10,52.5,0.694,6693,3346,3346,31930000,69.1,354800,423900,31930000,69.1,354800,423900,50480000,518500,,,,,,,,,,,,
SHS,SHS 180x12.5,180,180,12.5,14.4,14.4,18.8,12.5,64.4,0.688,8207,4104,4104,37900000,68,421100,511200,37900000,68,421100,511200,60700000,612600,,,,,,,,,,,,
SHS,SHS 180x14.2,180,180,14.2,12.7,12.7,21.3,14.2,72.2,0.683,9201,4601,4601,41540000,67.2,461600,566300,41540000,67.2,461600,566300,67110000,669500,,,,,,,,,,,,
SHS,SHS 180x16,180,180,16,11.3,11.3,24,16,80.2,0.679,10221,5111,5111,45040000,66.4,500400,621200,45040000,66.4,500400,621200,73430000,724000,,,,,,,,,,,,
SHS,SHS 200x5,200,200,5,40.0,40.0,7.5,5,30.4,0.787,3873,1937,1937,24450000,79.5,244500,282500,24450000,79.5,244500,282500,37560000,361900,,,,,,,,,,,,
SHS,SHS 200x6.3,200,200,6.3,31.7,31.7,9.4,6.3,38,0.784,4839,2419,2419,30110000,78.9,301100,350300,30110000,78.9,301100,350300,46530000,444300,,,,,,,,,,,,
SHS,SHS 200x8,200,200,8,25.0,25.0,12,8,47.7,0.779,6075,3038,3038,37090000,78.1,370900,435600,37090000,78.1,370900,435600,57780000,545200,,,,,,,,,,,,
SHS,SHS 200x10,200,200,10,20.0,20.0,15,10,58.8,0.774,7493,3746,3746,44710000,77.2,447100,530900,44710000,77.2,447100,530900,70310000,654600,,,,,,,,,,,,
SHS,SHS 200x12.5,200,200,12.5,16.0,16.0,18.8,12.5,72.3,0.768,9207,4604,4604,53360000,76.1,533600,642600,53360000,76.1,533600,642600,84910000,777900,,,,,,,,,,,,
SHS,SHS 200x14.2,200,200,14.2,14.1,14.1,21.3,14.2,81.1,0.763,10337,5169,5169,58720000,75.4,587200,714000,58720000,75.4,587200,714000,94170000,853700,,,,,,,,,,,,
SHS,SHS 200x16,200,200,16,12.5,12.5,24,16,90.3,0.759,11501,5751,5751,63940000,74.6,639400,785500,63940000,74.6,639400,785500,103400000,927100,,,,,,,,,,,,
SHS,SHS 220x6.3,220,220,6.3,34.9,34.9,9.4,6.3,41.9,0.864,5343,2671,2671,40490000,87.1,368100,426900,40490000,87.1,368100,426900,62400000,543800,,,,,,,,,,,,
SHS,SHS 220x8,220,220,8,27.5,27.5,12,8,52.7,0.859,6715,3358,3358,50020000,86.3,454700,531800,50020000,86.3,454700,531800,77650000,669400,,,,,,,,,,,,
SHS,SHS 220x10,220,220,10,22.0,22.0,15,10,65.1,0.854,8293,4146,4146,60500000,85.4,550000,649800,60500000,85.4,550000,649800,94730000,806800,,,,,,,,,,,,
SHS,SHS 220x12.5,220,220,12.5,17.6,17.6,18.8,12.5,80.1,0.848,10207,5104,5104,72540000,84.3,659500,789100,72540000,84.3,659500,789100,114800000,963200,,,,,,,,,,,,
SHS,SHS 220x14.2,220,220,14.2,15.5,15.5,21.3,14.2,90.1,0.843,11473,5737,5737,80070000,83.5,727900,878600,80070000,83.5,727900,878600,127700000,1060000,,,,,,,,,,,,
SHS,SHS 220x16,220,220,16,13.8,13.8,24,16,100.3,0.839,12781,6391,6391,87490000,82.7,795300,969000,87490000,82.7,795300,969000,140500000,1156000,,,,,,,,,,,,
SHS,SHS 250x6.3,250,250,6.3,39.7,39.7,9.4,6.3,47.9,0.984,6099,3049,3049,60140000,99.3,481100,555900,60140000,99.3,481100,555900,92380000,712000,,,,,,,,,,,,
SHS,SHS 250x8,250,250,8,31.3,31.3,12,8,60.3,0.979,7675,3838,3838,74550000,98.6,596400,694200,74550000,98.6,596400,694200,115300000,879800,,,,,,,,,,,,
SHS,SHS 250x10,250,250,10,25.0,25.0,15,10,74.5,0.974,9493,4746,4746,90550000,97.7,724400,850700,90550000,97.7,724400,850700,141100000,1065000,,,,,,,,,,,,
SHS,SHS 250x12.5,250,250,12.5,20.0,20.0,18.8,12.5,91.9,0.968,11707,5854,5854,109200000,96.6,873200,1037000,109200000,96.6,873200,1037000,171600000,1279000,,,,,,,,,,,,
SHS,SHS 250x14.2,250,250,14.2,17.6,17.6,21.3,14.2,103.4,0.963,13177,6589,6589,120900000,95.8,967500,1158000,120900000,95.8,967500,1158000,191400000,1413000,,,,,,,,,,,,
SHS,SHS 250x16,250,250,16,15.6,15.6,24,16,115.4,0.959,14701,7351,7351,132700000,95,1061000,1280000,132700000,95,1061000,1280000,211400000,1546000,,,,,,,,,,,,
SHS,SHS 260x6.3,260,260,6.3,41.3,41.3,9.4,6.3,49.9,1.024,6351,3175,3175,67880000,103.4,522200,602700,67880000,103.4,522200,602700,104200000,773000,,,,,,,,,,,,
SHS,SHS 260x8,260,260,8,32.5,32.5,12,8,62.8,1.019,7995,3998,3998,84230000,102.6,647900,753200,84230000,102.6,647900,753200,130100000,956300,,,,,,,,,,,,
SHS,SHS 260x10,260,260,10,26.0,26.0,15,10,77.7,1.014,9893,4946,4946,102400000,101.8,787900,923600,102400000,101.8,787900,923600,159300000,1159000,,,,,,,,,,,,
SHS,SHS 260x12.5,260,260,12.5,20.8,20.8,18.8,12.5,95.8,1.008,12207,6104,6104,123600000,100.6,951100,1127000,123600000,100.6,951100,1127000,194100000,1394000,,,,,,,,,,,,
SHS,SHS 260x14.2,260,260,14.2,18.3,18.3,21.3,14.2,107.9,1.003,13745,6873,6873,137100000,99.9,1055000,1259000,137100000,99.9,1055000,1259000,216600000,1542000,,,,,,,,,,,,
SHS,SHS 260x16,260,260,16,16.3,16.3,24,16,120.4,0.999,15341,7671,7671,150600000,99.1,1159000,1394000,150600000,99.1,1159000,1394000,239400000,1689000,,,,,,,,,,,,
