cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
HP 320 x 184,184.0,329.0,317.0,25.0,25.0,27,279.0,225.0,234.5,1.830,9.941,42340,2574,2979,13.4,95.75,13330,841.1,1311,7.5,10.6,586.4,3066000
HP 320 x 147,147.0,319.0,312.0,20.0,20.0,27,279.0,225.0,186.9,1.800,12.27,32670,2048,2338,13.2,76.85,10160,651.2,1011,7.3,9.1,309.6,2262000
HP 320 x 117,117.0,311.0,308.0,16.0,16.0,27,279.0,225.0,149.5,1.776,15.14,25470,1638,1848,13,62.09,7814,507.4,785.5,7.2,7.9,166.9,1695000
HP 320 x 103,103.0,307.0,306.0,14.0,14.0,27,279.0,225.0,131.0,1.764,17.15,22050,1436,1611,12.9,54.83,6704,438.1,677.2,7.1,7.3,116.8,1434000
HP 320 x 88,88.5,303.0,304.0,12.0,12.0,27,279.0,225.0,112.7,1.752,19.8,18740,1237,1378,12.8,47.65,5633,370.6,572,7,6.7,78.74,1189000
HP 305 x 223,223.0,337.9,325.7,30.3,30.4,20,277.1,237.1,284.0,1.884,8.409,52950,3134,3672,13.6,108.7,17580,1079,1682,7.8,11.4,977,4138000
HP 305 x 186,186.0,328.3,320.9,25.5,25.6,20,277.1,237.1,236.9,1.855,9.912,42860,2611,3022,13.4,90.86,14140,881.7,1369,7.7,10,583.3,3229000
HP 305 x 180,180.0,326.7,319.7,24.8,24.8,20,277.1,237.1,229.3,1.848,10.2,41220,2523,2915,13.3,88.22,13550,847.7,1315,7.6,9.7,532.2,3077000
HP 305 x 149,149.0,318.5,316.0,20.6,20.7,20,277.1,237.1,189.9,1.825,12.15,33320,2092,2389,13.1,73.06,10910,690.7,1067,7.5,8.5,310.3,2413000
HP 305 x 126,126.0,312.3,312.9,17.5,17.6,20,277.1,237.1,160.6,1.807,14.2,27660,1771,2004,13,62.04,9005,575.5,887.3,7.4,7.6,192.8,1951000
HP 305 x 110,110.0,307.9,310.7,15.3,15.4,20,277.1,237.1,140.1,1.794,16.15,23810,1547,1739,12.9,54.34,7712,496.4,763.6,7.3,6.9,131,1646000
HP 305 x 95,94.9,303.7,308.7,13.3,13.3,20,277.1,237.1,121.0,1.781,18.54,20300,1336,1493,12.8,47.37,6531,423.1,649.7,7.3,6.3,86.88,1374000
HP 305 x 88,88.5,301.7,307.8,12.4,12.3,20,277.1,237.1,112.1,1.775,19.92,18680,1238,1379,12.8,44.23,5986,389,596.9,7.2,6,70.29,1251000
HP 305 x 79,78.9,299.3,306.4,11.0,11.1,20,277.1,237.1,100.5,1.768,22.09,16690,1115,1237,12.7,39.57,5328,347.8,532.8,7.2,5.6,52.15,1105000
HP 260 x 87,87.3,253.0,267.0,14.0,14.0,24,225.0,177.0,111.0,1.505,17.24,12580,994.9,1123,10.6,45.12,4455,333.7,516.1,6.3,7,96.57,634200
HP 260 x 75,75.0,249.0,265.0,12.0,12.0,24,225.0,177.0,95.5,1.493,19.91,10640,855.1,958.5,10.5,39.14,3732,281.7,435,6.2,6.4,64.28,522600
HP 220 x 57,57.2,210.0,224.5,11.0,11.0,18,188.0,152.0,72.9,1.265,22.12,5729,545.6,613.6,8.8,28.63,2079,185.2,285.5,5.3,5.4,37.61,205300
HP 200 x 53,53.5,204.0,207.0,11.3,11.3,10,181.4,161.4,68.4,1.196,22.36,4977,487.9,551.2,8.5,24.89,1673,161.6,248.5,4.9,4.5,31.94,155000
HP 200 x 43,42.5,200.0,205.0,9.0,9.0,10,182.0,162.0,54.1,1.185,27.88,3887,388.7,434.5,8.4,19.84,1293,126.2,193.3,4.8,3.8,16.34,117800
