Elongation [mm],Lode angle
0.192,0.6019363083701263
0.198,0.6069462001576245
0.204,0.6119762124084516
0.21,0.6169886895977433
0.216,0.6219559638686112
0.222,0.6268716968598622
0.228,0.6317049919695333
0.234,0.6364666128097818
0.24,0.6411359087019132
0.246,0.6457220053097954
0.252,0.6502200410793132
0.258,0.6546307590618008
0.264,0.6589551966015671
0.27,0.6631961688892916
0.276,0.667356253038896
0.282,0.6714375187488982
0.288,0.6754442649879066
0.294,0.6793794207817939
0.3,0.6832458694266047
0.306,0.6870478710973823
0.312,0.6907878205008966
0.318,0.6944695550438049
0.324,0.6980962968515317
0.33,0.7016718047514566
0.336,0.7051990985819593
0.342,0.7086816989585388
0.348,0.712123118105144
0.354,0.7155260493218643
0.36,0.7188936094101596
0.366,0.7222292629102472
0.372,0.725535614127963
0.378,0.7288157848393507
0.384,0.7320726214970227
0.39,0.7353084431189628
0.396,0.7385265127711356
0.402,0.7417286260053316
0.408,0.7449175728118973
0.414,0.7480955704010336
0.42,0.7512612188372568
0.426,0.75441569402038
0.432,0.7575595886263935
0.438,0.7606940757554267
0.444,0.7638212424444015
0.45,0.7669418675718452
0.456,0.7700580512808212
0.462,0.7731716654876333
0.468,0.7762830114379684
0.474,0.7793951942401447
0.48,0.7825061191647668
0.486,0.785619832009933
0.492,0.788733764637417
0.498,0.7918496172450287
0.504,0.7949426324525256
0.51,0.7980993406993355
0.516,0.8012141286069638
0.522,0.8043374707878472
0.528,0.807462441126858
0.534,0.8105906494950931
0.54,0.8137186780100842
0.546,0.8168469906555577
0.552,0.8199771960797103
0.558,0.8231052548642247
0.564,0.8262303771727116
0.57,0.8293555026630444
0.576,0.8324745985745479
0.582,0.8355884188727541
0.588,0.8386977263322064
0.594,0.8417985077797832
0.6,0.8448888082053926
0.594,0.8858328234963552
0.588,0.9782323014430254
0.582,0.987900074191171
0.576,0.7468739303286005
0.57,0.6007379326446471
0.564,0.3586721494839686
0.558,0.1351139465544161
0.552,-0.014982920392501604
0.546,-0.14871934478277585
0.54,-0.2851620249987716
0.534,-0.39462992883569503
0.528,-0.46299182536249034
0.522,-0.5072520677578571
0.516,-0.5394543595359906
0.51,-0.564838946744674
0.504,-0.585963636688663
0.498,-0.6041842770015633
0.492,-0.6202245834484496
0.486,-0.634546557453071
0.48,-0.6473476896640254
0.474,-0.6588023081020908
0.468,-0.6689327915976577
0.462,-0.6778077195280183
0.456,-0.6853992230782485
0.45,-0.6915254755696686
0.444,-0.6959351147723134
0.438,-0.697966560421825
0.432,-0.6983549041904841
0.426,-0.6978877757475885
0.42,-0.6971993054547485
0.414,-0.6965150383038694
0.408,-0.6956933692572129
0.402,-0.6946439281087818
0.396,-0.6934337903042377
0.39,-0.6920349518888972
0.384,-0.6904346136850711
